text,labels
"
""People are going to be very impressed",no_propaganda
"
To make matters worse (if that is even possible), evidence has surfaced that indicates that a bishop, as well as some priests and laity, had brought the allegations about misconduct with seminarians to the attention of Church authorities but to no avail: Archbishop McCarrick was nonetheless “promoted” to become the archbishop in our nation’s capital, and elevated to the College of Cardinals",has_propaganda
"
“Top FL County Election Official Illegally Let People Vote Over Fax, Email,” by Randy DeSoto, Western Journal, November 13, 2018 (thanks to Mark):
The top election official in heavily Republican Bay County allowed residents displaced by Hurricane Michael to vote by email and fax, contrary to Florida law",no_propaganda
2 3,no_propaganda
"5 billion to help rebuild housing in Puerto Rico after devastation from both Maria and Hurricane Irma, which skirted the island a couple of weeks before, through HUD's Community Development Block Grant Disaster Recovery program",has_propaganda
"
In it, Jews are described as: “arrogant,” “jealous,” “selfish,” “spiteful,” “greedy,” “cursed,” “apes and swine,” and “under divine displeasure",has_propaganda
"
Perhaps the most damaging new revelation in the report is a previously-unreported text message in which Peter Strzok, a key investigator on both the Clinton email case and the investigation of Russia and the Trump campaign, assured an FBI lawyer in August 2016 that “we’ll stop” Trump from making it to the White House",has_propaganda
"Wait!
Wait!
It’s all a MISTRANSLATION!

Thus, it took more than a year-and-a-half for the Factory to roll out the old reliable “mistranslation” defense to explain away the infamous paragraph 303 of Amoris Laetita (AL), which reads as follows in the official English translation on the Vatican website:
Yet conscience can do more than recognize that a given situation does not correspond objectively to the overall demands of the Gospel",has_propaganda
"
Image: The US recalled non-essential embassy staff from Havana, Cuba, after potential sonic attacks in 2017
The other type is an ""ultrasound"" attack, whereby a high frequency noise inaudible to human ears can be targeted easily at potential victims",has_propaganda
"”

Writes Fr",no_propaganda
"
“My conviction and subsequent sentence for a minor military infraction compared to the treatment of politically connected individuals is a glaring example of a violation of the rights of all Americans to have equal protection under the law",has_propaganda
"Teen Who Had MAGA Hat Ripped Off Head Gets New One Signed By Trump

Sixteen-year-old Hunter Richard was wearing a “Make America Great Again” hat while enjoying a calm dinner at a Whataburger in Texas when a stranger, now identified as 30-year-old Kino Jimenez, yanked it off his head and threw a soda in his face",has_propaganda
 Horowitz relied in part on opinions from prosecutors that there was not enough evidence to charge Clinton with acting in a manner that rose to a level of criminal gross negligence with respect to sending or receiving e-mails determined to contain classified information,no_propaganda
"
pic",no_propaganda
"
You also agree to this site's Privacy Policy and Terms of Use",no_propaganda
"
Carter Page told Fox News’ Sean Hannity on Monday night that the FBI’s investigation was “so incredibly stupid to begin with",has_propaganda
"
–SHTFPlan
But now, the sonic attacks have progressed beyond Cuba",has_propaganda
"
They wanted to hold off as long as possible on identifying this terrorist as another Muslim, and this as another jihad terror attack",has_propaganda
"”
For his part, President Trump tweeted: “A disgraceful verdict in the Kate Steinle case!
No wonder the people of our Country are so angry with Illegal Immigration",no_propaganda
" “If we aren't ready, we won't",no_propaganda
"
Thank you and let me know if I need to provide further resources proving Australia is a country",no_propaganda
"
And by the way, everywhere they were scattered, they were persecuted, hated, treated badly",has_propaganda
"

An AP investigation into Russian hacking shows that government-aligned cyberspies began an aggressive effort to penetrate the Clinton campaign’s email accounts on March 10, 2016",has_propaganda
"
There are more cases out there just like Barros that have been covered up, Yore told Arroyo, maybe even some even worse than the Barros case",no_propaganda
"
You also agree to this site's Privacy Policy and Terms of Use",no_propaganda
"Who ‘Won’ the Trump-Kim Summit?

Last week’s Economist Magazine won the day with the best-ever headline about the Trump-Kim Jong-un summit: `Kim Jong Won!’
That said it all",has_propaganda
"
“I can tell you 100% this is not that kind of guy,” said Rick, adding that he would see Paddock every other day and that the two would go to a local bar and play slot machines",has_propaganda
"
""As I mentioned above I will look over your week two paper once again and see if you earned more credits than I gave you",no_propaganda
"
In Greenwald’s mind, Trump is a fairly standard politician (when it comes to the policies he supports and implements), which is what makes the media’s constant flow of outrage so mystifying",has_propaganda
"
Setting the job count at 100",no_propaganda
"Jewish and Pro-Israel Students Kicked Off University Board for Opposing BDS

First they came for the Jews",has_propaganda
"
In the Introduction, it seems anxious to establish a “hermeneutic of continuity” with Pius XII and his document Sponsa Christi Ecclesia of 1950",no_propaganda
” Kate’s brother Brad was “stunned that they couldn’t even get him on using the weapon,no_propaganda
"The Dictator Pope: A Call to Hierarchical Opposition

Of that book, no less than Robert Royal—signaling growing alarm over the Bergoglian Debacle in the Catholic mainstream— has written : “About 90 percent of it is simply incontrovertible, and cannot help but clarify who Francis is and what he’s about",has_propaganda
"
The US reduced its workforce in Havana, Cuba, in 2017 after its personnel and their families reported experiencing a range of health issues",has_propaganda
"
Completing this poll grants you access to Freedom Outpost updates free of charge",no_propaganda
"
Obama's meeting with Farrakhan was part of a CBC event",no_propaganda
"
Click below to Subscribe to The Remnant's YouTube channel!
Yet Fisher maintains a sliver of space for deniability in order to maintain that indispensable distinction between her and those loathsome traditionalists: “I don’t have any ideological reason to want to bring him down",no_propaganda
"
First the Dems demanded that Ford, a long-time Democrat activist, “be heard",no_propaganda
"
Page left the FBI in May and Strzok got the axe last month",no_propaganda
"”



“Bishops are quick learners,” he wrote in his letter, “and what many have learned from your pontificate is not that you are open to criticism, but that you resent it,” claiming that many bishops don’t speak out publicly for fear they will be “marginalized or worse",has_propaganda
"com/HZf3LBeAgk — Mike Tokes (@MikeTokes) October 29, 2017
This stunning tower audio once again provides proof that the entire narrative that claims that Stephen Paddock operated alone from the 32nd floor of the Mandalay Bay Hotel is complete nonsense and that authorities are actually actively covering up what really happened on that fateful night",has_propaganda
 Danny Davis defended Nation of Islam leader Louis Farrakhan as an “outstanding human being” on Monday,has_propaganda
"
He may have also unlocked a new era of digital DIY gunmaking that further undermines gun control across the United States and the world—another step toward Wilson's imagined future where anyone can make a deadly weapon at home with no government oversight",has_propaganda
"
Shutterstock
A professor at Southern New Hampshire University failed one of her student's assignments because the professor incorrectly thought Australia ""is not a country,"" according to a report in BuzzFeed News",has_propaganda
"The Hammond Pardons Bring Justice to Obama's Victims

The media very deliberately misreported the Bundy standoff, ridiculing the men involved and shrugging at the murder of LaVoy Finicum",has_propaganda
"
It collaborates in the same way that the Vichy government in France collaborated with the Nazis",no_propaganda
"
© Other A zoomed-in version of the 'Pale Blue Dot' image
The false-colour images released by NASA are the farthest from Earth ever captured by a spacecraft, and are also the closest-ever images of Kuiper Belt objects",no_propaganda
"
They deliberately refused to bring up the allegations, as weak and ridiculous as they are, at Kavanaugh’s Senate confirmation hearings because they didn’t want to have a rational discussion",has_propaganda
"
Earlier this month, the suspect in the alleged murder of a Jewish physician in Paris was deemed not responsible for his actions in a second psychiatric evaluation ordered by a judge even though the defense did not request it",no_propaganda
"A student failed an assignment because her professor believed Australia 'is not a country'

Australia is a country",has_propaganda
S,no_propaganda
"
The man accused of egging on Kavanaugh denied Ramirez's allegations and vouched for Kavanaugh’s character",no_propaganda
 Bush all thought that the Islamic Republic was not due money that was owed to the Shah,no_propaganda
"
The Senate must vote!”
Ford, who claims Kavanaugh tried to rape her decades ago when he was a high school student, appeared before the Senate Judiciary Committee for several hours Thursday",has_propaganda
"
We don’t believe this was really his true character",no_propaganda
"
We’re dealing with probably between 1,200 and 1,400 calls and emails per month, and prior to that it was 600 to 700",no_propaganda
"

He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form",has_propaganda
"Google colluded with Clinton campaign with ‘silent donations’

While the establishment continues to push the notion that a couple hundred thousand dollars of ad spends and some Russian bots on Facebook swayed the election to Donald Trump, more proof of real “collusion” between Google and the Hillary Clinton campaign has been uncovered",has_propaganda
"
A hat signed by @realDonaldTrump",no_propaganda
"South Florida Muslim Leader Sofian Zakkout’s David Duke Day

David Duke, the white supremacist icon and former Grand Wizard of the Ku Klux Klan, has been denounced by many as a hatemonger, and rightfully so",has_propaganda
"
The JTA's awkward attempt to whitewash the newly revealed CBC anti-Semitism included a claim from the ADL that Rep",has_propaganda
"
Why was he there?
What led him there?
And we don’t know answers to that, quite frankly",no_propaganda
"
Palm Beach County failed to make Florida’s recount deadline on Thursday",no_propaganda
"
Sofian Abdelaziz Zakkout is the President of the American Muslim Association of North America (AMANA)",no_propaganda
"“It’s gotta be a set-up”: Neighbor of Las Vegas Shooter Claims He Didn’t Do It

This report was originally published by Paul Joseph Watson at Infowars",has_propaganda
"
If President Trump were a mole, wouldn’t he have made life easier for Putin?
Wouldn’t he have eased sanctions?
Wouldn’t he have been less confrontational than Obama in Syria?
Wouldn’t the President be making Putin’s attempts at expanding his influence easier?
take our poll - story continues below
Will Brett Kavanaugh be confirmed to the Supreme Court?
Will Brett Kavanaugh be confirmed to the Supreme Court?
Will Brett Kavanaugh be confirmed to the Supreme Court?
* Yes, he will be confirmed",has_propaganda
"
As I wrote in my October 11 article, “Will Trump Make a Deal with the CIA on JFK Records?,” the CIA is between a rock and a hard place",no_propaganda
"”
Later Wednesday, Pompeo said during a refueling stopover in Brussels that Erdogan had informed him the Saudis were cooperating with the Turkish investigation “after a couple of delays",no_propaganda
"
We reflexively assume that a rational accommodation or concessions will be reciprocated by those proven to be ready to use any means necessary to achieve their aims, no matter how amoral, unfair, or vicious",has_propaganda
" Code 2381 says: “Whoever, owing allegiance to the United States, levies war against them or adheres to their enemies, giving them aid and comfort within the United States or elsewhere, is guilty of treason and shall suffer death, or shall be imprisoned not less than five years and fined under this title but not less than $10,000; and shall be incapable of holding any office under the United States",has_propaganda
"
But then, what was the Pope’s purpose in asking me that question: “What is Cardinal McCarrick like?” He clearly wanted to find out if I was an ally of McCarrick or not…",no_propaganda
"
While this settlement is a victory for First Amendment rights, it will be difficult, if not impossible, for the government to regulate either the printers or the guns that are made with them",has_propaganda
"
President Trump seemed to be publicly siding with the Russian dictator against the American intelligence agencies",has_propaganda
"
Before long the US would be right back in the Human Rights Council, there would be moves in favor of the PLO, and the same old failed politics would be back",has_propaganda
"
This was unjust",has_propaganda
"
The Democrats are committing voter fraud on a massive scale, and not only in Florida, but in Arizona, Georgia, California and elsewhere",has_propaganda
", has always been gun confiscation",no_propaganda
"
Congratulations to all!”
This is yet another big shake-up for Trump’s still-young administration — and it may be the most important one to date",has_propaganda
"
The leaders of the Islamic Republic of Iran order their people to chant “Death to America” in mosques every Friday, and repeatedly vow that they will ultimately destroy the United States of America and the state of Israel",has_propaganda
"
In the months leading up to the vote, there had been other anti-Semitic incidents, including a tweet by Igor Sadikov, an elected representative of students in McGill’s faculty of arts, saying: “punch a zionist",has_propaganda
"
Email *
Comments This field is for validation purposes and should be left unchanged",no_propaganda
7 billion released to Iran by the Obama administration to Iranian-backed terrorists in the two years since the cash was transferred,no_propaganda
"
This is the first pillar in the internet gun culture of tomorrow, and it is permanent",no_propaganda
"
Email *
Name This field is for validation purposes and should be left unchanged",no_propaganda
"” “In fact, those that are distancing themselves from the council to make another path are killing themselves – sooner or later, they will die",has_propaganda
"8% Native born, 16 years and older Civilian population 201,852 202,965 1,113 0",no_propaganda
"
Even as President Trump moves swiftly to restore sanctions and put Iran on notice that its nuclear activity and global adventurism will not be tolerated, those billions cannot be recovered, and the Iranians have already spent a great deal for their jihad cause",no_propaganda
"
However, Marx said on February 3 that homosexual couples need “closer pastoral care” and “one must also encourage priests and pastoral workers to give people in concrete situations [of homosexual unions] encouragement",no_propaganda
"Capitol Police “Accidentally” Gave Treasure Trove of Evidence To Muslim IT Spy's Defense Attorney

Accidentally?
Color me skeptical",has_propaganda
"
Though Abid played a prominent role in the late-2016 IG report, he has not been arrested, with congressmen saying a criminal investigation is ongoing",no_propaganda
"
The judge forcefully stood up for himself as his voice trembled with righteous indignation, calling out Democratic senators for plotting against him",has_propaganda
"
The court’s move came just as Daigle was helping Saucier prepare to file the lawsuit, prompting the navy sailor to accuse New York officials of trying to hinder his court fight against Obama, Comey, and others",no_propaganda
S,no_propaganda
"
""I am terrified for the Jewish people",no_propaganda
"
“You may not like the hat or you may not like the president, but you don’t show that kind of aggression toward teenagers",no_propaganda
"
""Christianity is Europe's last hope,"" Orban told an audience of party faithful at the foot of the Royal Castle in Budapest",has_propaganda
"
Now, Rep",no_propaganda
"Kate Steinle's death at the hands of a Mexican national became a flashpoint in the immigration debate — here's the story behind her killing

The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night, as top conservatives and critics of so-called ""sanctuary cities"" pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies",has_propaganda
"
Some clustered around volunteer American lawyers who arrived at the shelter to explain the basics of asylum law",has_propaganda
"
Why?
Because, when Trump’s Russia policies are measured against Obama’s… it becomes CLEAR that Trump has obviously been tougher against Russia than Obama ever was",has_propaganda
