text,labels
SURPRISE! 70% Of Charlotte RIOTERS Are Not From There – Guess What That Means…,fake
"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",real
Angela Merkel Admits Bringing In Muslim Refugees Was A Big Fat Mistake,fake
BREAKING: Steps to FORCE FBI Director Comey to Resign In Process – Hearing Decides His Fate Sept 28,fake
Newsweek Accuses Trump Of Committing A Felony,fake
"DISGUSTING! Because Of Hillary & Obama, NY Terrorist Will Get Better Treatment Than US Vets!",fake
Megan Rapinoe Punished Over Not Standing For Anthem?,real
Trump’s Latest Campaign Promise May Be His Most Horrible One Yet,fake
People Noticed Something Odd About Hillary’s Outfit at the Debate Last Night,fake
"Critical counties: Wake County, NC, could put up a fight",real
Michelle Obama NOT Leaving The White House – Hillary Clinton Has Terrifying New Role For Her!?!?,fake
U.S. mistakenly granted citizenship to hundreds of immigrants,real
Australia Voted To Ban Muslims And Liberals Are Pissed,fake
OUTRAGE! Obama Spends $770M Dollars In Tax Payer Money To Renovate Mosques Over Seas…,fake
BREAKING: Judge DEMANDS Release Of Clinton’s Security Training Files – She Has 5 Days…,fake
Republicans Push Bill To Legalize Voter Intimidation To Help Trump In Pennsylvania,fake
Charlotte Police REVEAL What They Said To Black Man Just Moments Before Shooting…,real
National poll: Clinton leads Trump by 6,real
Clinton: ‘The next 50 days will determine the next 50 years’,real
The Pope Flat Out Called Fox News Type Journalism ‘Terrorism’,fake
KISS Bassist Gene Simmons on How to Stop Islamic Terrorism,real
Riot Police DID Shoot Unarmed Charlotte Protester In Head,fake
The Black Sphere with Kevin Jackson,fake
"“If You Can’t Run Your Own House, You Certainly Can’t Run the White House”",fake
Obama Pushes One World Government,fake
Note In Arabic Found With NYC Bomb… Call Says There Will Be More Bombings,fake
NC State Troopers Take A Knee Before Protecting Charlotte – But It Wasn’t To Protest The National Anthem…,real
Obama in NYC: 'We all have a role to play' in terror fight after suspected bombings,real
Donald Trump Goes Off The Deep End–May Be Unfit For Debate,fake
Networks Confirm They Will Not Be Fact-Checking Donald Trump In Any Way,fake
"President Obama Vetoes 9/11 Victims Bill, Setting Up Showdown With Congress",real
WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,fake
Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,real
"New Jersey Moves To Impeach Chris Christie Over ""Bridgegate""",fake
Hillary Thought She Won The Debate. Didn’t Expect This To Happen To Prove Her Wrong.,fake
It’s “Trump is HITLER” Month at the Washington Post,real
Donald Trump Jr. Just Pinned A Tweet So Stupid It Will Make Your Eyes Bleed,real
BREAKING: Pipe Bombs Found in New Jersey Train Station,real
Is Donald Trump qualified to be president?,real
Bombing Suspect Filed Anti-Muslim Discrimination Lawsuit Against Police,fake
Hillary’s TOP Donor Country Just Auctioned Off ISIS Sex Slaves…,fake
Everything you need to know about Trump and Clinton’s first 2016 presidential debate,real
How Trump Is Hiding From The Media Like A Total Coward,real
Paul Ryan ducks on stop-and-frisk,real
Chelsea Handler Gets The Last Word After RNC Chair Attacks Hillary For Not Smiling,real
Trump’s puzzling pitch to black voters,real
Obama’s team isn’t laughing at Trump anymore,real
Secret Video Records MASSIVE Hillary Event Flop!,fake
Inmate Dead From Alleged Mistreatment In Jail Run By Infamous Pro-Trump Sheriff,real
Senate Dems Move To Force Trump To Release His Tax Returns,real
Charity: Clinton Foundation Distributed “Watered-Down” AIDS Drugs to Sub-Saharan Africa,fake
Sacramento mayor punches pie thrower,real
EXPOSED: Soros Funding Fake Veterans’ PAC To Take Trump Down,fake
Donald Trump retreats to friendly media ground,real
Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,fake
BREAKING: Did Hillary Clinton Have a Nervous Breakdown?,fake
DESPICABLE! Hillary Wants To Put Hero Cop Who Stopped Mall Terror Attack Out Of BUSINESS,fake
US: ISIS did not use mustard agent in base attack,real
Dem congressman to IRS: Audit the Trump Foundation,real
Tebow DISMANTLES national anthem protests in one sentence...BOOM!,fake
UNFIT! Look What Hillary Needed To Get Up The Stairs At Her Rally Today!,fake
U.S. attorney sees no rush to arraign Rahami in federal court,real
Trump Supreme Court Pick Sued By Feds For Racial Discrimination,fake
Magistrate won't order federal arraignment for bombing suspect,real
"Obama wears hat, breaking ‘Politics 101’ rule on headgear",real
"Clinton Foundation Caught In Their Most Sickening Scheme Yet, Countless Dead",fake
How Democrats are Going to Try to STEAL the Election for Hillary – Eagle Rising,fake
Bridgegate: Port Authority officials planned to make Fort Lee 'traffic jam as bad as possible',real
Tim Kaine on Libertarian ticket: 'Everybody knows they're not going to win',real
“Why Aren’t I 50 Points Ahead?”,real
The Mystery of Trump’s Man in Moscow: Carter Page,real
Rouhani: Iran deal able to weather the election,real
"Decades-Old Clinton Friend Comes Forward, Says She Knows What's Happening to Hillary",fake
New Clinton Foundation SCANDAL Just Broke – This Is What Hillary ACTUALLY Thinks About Black People…,fake
More Milestone Moments for Donald Trump!,real
Inside the cover up of Hillary’s email server,real
Cavuto Just Exposed Lester Holt's Lies During Debate,fake
