text,labels
"And, of course, it drew widespread criticism for its infamous Sarah Palin cover in 2009.",contains-bias
"“If we don’t get a fair deal from Congress, the government will either shut down on Feb. 15, or I will use the powers afforded to me under the laws and Constitution of the United States to address this emergency.”",no-bias
I don’t feel that I should be coerced.”,contains-bias
"""I want to see the birth certificate,"" said Trump in an interview on NBC's ""Today"" show, according to TIME.",no-bias
"In a briefing with reporters at the White House on Wednesday afternoon, senior administration officials used the 100 pages of emails to show that a number of government agencies, not just the State Department, drove many of the changes to the talking points that were ultimately used by U.N. Ambassador Susan Rice.",no-bias
"""We need to have the courage to choose, we need to have the courage to stand up and say 'enough,'"" Christie added.",no-bias
"Though he collected only a dozen or so public endorsements, Mr. Ryan mounted an unlikely challenge to Ms. Pelosi, long considered a legislative and fund-raising powerhouse.",no-bias
There’s no dialogue taking place to get to the heart of what we really believe as a nation and what is truth.”,no-bias
It dipped to $1.5 billion the following year and roughly $1.35 billion in fiscal 2012 -- still far more than it was a decade ago.,no-bias
"Throughout the day, there were mostly peaceful protests against the new president.",no-bias
Proponents say the law should allow Christian vendors to refuse service to same-sex couples without fear of legal reprisals.,no-bias
"Nebraska and Oklahoma complained about a “significant influx of Colorado-sourced marijuana,” but the suit did not mention specific statistics about Colorado-related marijuana arrests or drug seizures.",no-bias
But the message was clear: supporting anything that closely resembled the Democratic agenda would no longer fly with the modern GOP.,no-bias
“We are better than that. We are simply better than that.”,no-bias
"But while Gibbs said it's time to get off the ""mindset that if we disagree, we have to disqualify each other"" comments like Santorum's show that the GOP primary ""has been a race to the bottom.",contains-bias
“This is nonsense.,contains-bias
"“We’re the ones who are offering a plan to save Medicare, to protect Medicare, to strengthen Medicare.”",no-bias
"Kristin Davis, the former Manhattan madam, reportedly told The Washington Post’s Manuel Roig-Franzia that FBI agents also executed a search warrant at the New York City apartment she shared with Stone.",no-bias
He previously had said he supported equal rights for same-sex couples but stopped short of endorsing gay marriage.,no-bias
"Last month, he joined with prominent conservatives who have seized on the heightened enforcement of guidelines and the concept of shadow banning on Twitter — making social media posts invisible to everyone except the posters themselves — as proof of biased attacks on their views.",contains-bias
Whether Sanders sought – and the president would even consider – a Schultz sacrifice is unclear.,no-bias
"The State Department, in a document put out last week, noted that while an internal review found certain senior officials ""demonstrated a lack of proactive leadership and management ability"" in response to security concerns, there was no specific finding of misconduct.",contains-bias
"Senate Minority Leader Chuck Schumer, D-N.Y., and Sen. Elizabeth Warren, D-Mass., both called Tuesday for a postponement on any vote to confirm Gorsuch to the nation’s highest court.",no-bias
“It’s a matter of the extent we want to keep losing.”,no-bias
The administration has for months tried to reduce the number of people seeking asylum in the U.S. as part of a broader effort to stem the flow of Central American migrants crossing the border from Mexico.,no-bias
"Trump reopened the government for three weeks on Jan. 25, allowing government workers to get back to work as border security negotiations continued.",no-bias
"The rough and tumble of the coming campaign seemed far away at Wednesday’s news conference, which was attended by Mr. Cowan’s wife, Stacey, and their two young sons.",no-bias
"He warned, “I’m afraid the president could be taken advantage of.”",no-bias
"Additionally, forces were withdrawn despite the concern by many Republicans that “leaving would strengthen the hand of Russia and Iran, which both support Syrian President Bashar al Assad.”",no-bias
"In a speech from beneath the D.C. area's Key Bridge, Obama told spectators that Congress had time to bring up votes on aspects of the American Jobs Act, but were instead dealing with more frivolous legislation.",no-bias
"""Throw out the threat of a boycott to attempt to defeat a bill, and you might just be able to be successful.",no-bias
"The group that produced the ad, Secure America Now, is run by two longtime Republican strategists, Nelson Warfield ? and John ?McLaughlin, and ?Pat Caddell, a former aide to Jimmy Carter who is now a Fox News contributor.",no-bias
“I have not done anything wrong.,no-bias
"Mr. Jaffer pointed to documents showing, for example, that Judge Gorsuch had worked to get Congress to enact a law stripping courts of jurisdiction to hear lawsuits by Guantánamo Bay detainees, and in one email chain he criticized law firms that helped represent prisoners in seeking judicial review of their detention.",contains-bias
"The assailant, who authorities have identified as 66-year-old James T. Hodgkinson of Belleville, Illinois, was shot by police and later died of his injuries at a hospital.",no-bias
"He also rejected reports that Obama refused his request for a meeting, pinning the circumstances on a scheduling conflict, as has the White House when pressed on the subject.",no-bias
Mr. Cohen had told lawmakers that the negotiations ended in January 2016 — before the first presidential primaries — and were never discussed extensively among executives of the Trump Organization.,no-bias
"An NBC News/Wall Street Journal poll last week found that voters favored a Democratic-controlled Congress over a Republican one 46 percent to 41 percent, a spread that has not changed much all year.",no-bias
Pressing this question did not knock Gorsuch off his steady stream of non-answers.,no-bias
"In fact, arrests for illegal border crossings are at their lowest levels since the 1970s.",no-bias
"""We're ready to push this thing through.""",no-bias
"The president’s short trip from the White House to the event stage on the Potomac riverfront came more than a month after he began campaigning throughout the country for his jobs plan, building public pressure on Republicans but winning no votes from them.",no-bias
"The president himself responded on Twitter late Friday, calling the special counsel’s statement “a very sad day for journalism, but a great day for our Country!”",contains-bias
"“We have such a broad membership, Mr. Rother said.",no-bias
Democrats lost the House majority in the 2010 Tea Party-inspired wave election.,no-bias
"""Teachers should teach, but if there is personnel that has interest and is willing to go through 40 to 60 hours of [firearms] training, then schools should be willing to [arm them],"" Hutchinson said.",no-bias
"Linda McMahon, the party’s candidate for the United States Senate in Connecticut, was in the audience, along with other leading state Republicans.",no-bias
"Clinton, who is often described as the Democratic presidential frontrunner for 2016, has faced scrutiny since Monday when The New York Times reported that she may have violated federal records law by using a personal email account for all of her work messages as secretary of state.",no-bias
"In their remarks on Sunday, both Obama and Clinton referred to the shooting as an “act of terror"" and an ""act of hate.""",no-bias
"America is an idea that sets people free.""",no-bias
