Type,News
Real,"Says Dan Patrick has ""called immigration into Texas an invasion"" and ""said immigrants coming into Texas bring third-world diseases."""
Real,"In 2008, ""only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out."""
Real,"Even after Obamacare is fully implemented, there still will be tens of millions of people not covered."
Real,We have about six school districts that are in school 140 to 150 days this year.
Real,Says Ron Paul doesnt believe in marriage licenses.
Real,"Louie Gohmert of Texas ""compared the current general-in-charge in Egypt to George Washington."""
Real,"Mitt Romney ""drove to Canada with the family dog Seamus strapped to the roof of the car."""
Real,"Texas ""ranks third in teen pregnancies... and it is No. 1 in repeat teen pregnancies."""
Real,A congressional laundry closed due to the partial government shutdown.
Real,Says he's signed a pledge not to raise taxes four times.
Real,"New Jersey has had ""seven credit downgrades"" since Chris Christie became governor."
Real,"Between 1980 and 2010, water usage in Georgia dropped even as the states population grew."
Real,"There are ""a larger number of shark attacks in Florida than there are cases of voter fraud."""
Real,The transportation sales tax would cost the average consumer an estimated $112 a year.
Real,The House of Representatives does not have a prochoice majority.
Real,Ninety percent of Texans say they do not want the nursing homes to close. It polls higher than anything else.
Real,"Floridas proposed amendment for medical marijuana would allow ""people who alleged minor ailments such as muscle spasms, neck pain, back pain and even menstrual cramps (to qualify) for government-sanctioned pot-smoking."""
Real,"Barack Obama ""refuses to acknowledge Jerusalem as the capital of Israel."""
Real,One out of every two kids who are graduating college right now can't find a job.
Real,"Almost 88,000 United States service members are still missing and unaccounted for, dating back to World War II."
Real,"The ""average taxpayer will see the equivalent of a 2 percent pay raise as a result of low fuel prices."""
Real,We have more women living in poverty in this state than almost anywhere else.
Real,"Florida is ""second in the nation in the uninsured."""
Real,"Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people."
Real,The recently passed transportation funding bill is a billion-dollar tax increase for Georgians.
Real,"As mayor, [Allan Fung] raised taxes three times."
Real,There have been at least 100 shootings each year [Angel Taveras] has been mayor of Providence.
Real,Sixteen million jobs were created under Ronald Reagan's presidency.
Real,"In 1992, Mitt Romney ""gave money to Democrats for Congress."""
Real,There are 86 languages spoken at Miami Dade College.
Real,The right-to-work states are creating a lot more jobs today than the heavily unionized states.
Real,"Says ""some [states] with the largest reductions in crime have also lowered their prison population."""
Real,"Since World War II, only Gerald Ford and Bill Clinton have had worse ratings after seven months than President Obama."
Real,(Obamacare) is a bill which has never once had a majority of Americans favor it.
Real,"Obama's secretary of energy, Dr. Steven Chu, ""has said publicly he wants us to pay European levels (for gasoline), and that would be $9 or $10 a gallon."""
Real,"We balanced the budget with the 1997 Balanced Budget Act, and ultimately had four consecutive balanced budgets."
Real,"The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but ""didnt know"" why it was cited."
Real,"On the day of the New Hampshire primary in 1980, the top 13 people of Ronald Reagans staff quit."
Real,"Every 10th dollar spent by the Social Security Administration on its program for the poor is ""waste, or fraud, they cant validate that the people should have gotten it,"" totaling about $8 billion a year."
Real,"In every committee when the health care bill was considered, Democrats voted against an amendment that would require members of Congress and their staff to take the government-run public option as their health care plan."
Real,Legislation being considered in Texas would strip the salaries and pensions of clerks who issue marriage licenses to same-sex couples  even if the Supreme Court strikes down Texas marriage ban later this year.
Real,"Milwaukee is ""the most segregated city in America."""
Real,"Says Vladimir Putin once said, ""The breakup of the Soviet Union was the greatest geopolitical tragedy of the 20th century."""
Real,"Wisconsins state budget is almost twice as large per person as the state budget of Texas, and even after billions in tax cuts, Wisconsins working families and businesses remain subject to a heavy tax burden."
Real,"Following the 2009 session, Texas House Speaker Joe Straus ""was acknowledged and thanked for his tireless efforts by Planned Parenthood, the nations premier abortion provider."""
Real,"Polls show that Americans ""overwhelmingly"" support ""expanding background checks."""
Real,"In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks."
